P60710	Actb	RAFT
Q8C886	Plekhn1	RAFT
P99024	Tubb5	RAFT
P63017	Hspa8	RAFT
P35700	Prdx1	RAFT
Q62167	Ddx3x	RAFT
P26040	Ezr	RAFT
Q6ZWV3	Rpl10	RAFT
P03975	Iap	RAFT
P60843	Eif4a1	RAFT
P58252	Eef2	RAFT
Q9D8E6	Rpl4	RAFT
P17182	Eno1	RAFT
P05064	Aldoa	RAFT
P24547	Impdh2	RAFT
Q62351	Tfrc	RAFT
P62830	Rpl23	RAFT
P62754	Rps6	RAFT
P14148	Rpl7	RAFT
Q61656	Ddx5	RAFT
P47911	Rpl6	RAFT
P07901	Hsp90aa1	RAFT
P62245	Rps15a	RAFT
P27659	Rpl3	RAFT
Q9WU78	Pdcd6ip	RAFT
Q6ZWU9	Rps27	RAFT
P62259	Ywhae	RAFT
P60335	Pcbp1	RAFT
P84099	Rpl19	RAFT
Q61753	Phgdh	RAFT
P17225	Ptbp1	RAFT
Q9D8N0	Eef1g	RAFT
O70318	Epb41l2	RAFT
P63101	Ywhaz	RAFT
P57780	Actn4	RAFT
P14131	Rps16	RAFT
P18760	Cfl1	RAFT
Q05144	Rac2	RAFT
P29341	Pabpc1	RAFT
P61979	Hnrnpk	RAFT
Q9WTK5	Nfkb2	RAFT
Q922D8	Mthfd1	RAFT
P60867	Rps20	RAFT
Q8VDN2	Atp1a1	RAFT
Q8CGC7	Eprs	RAFT
Q9CZD3	Gars	RAFT
P62849	Rps24	RAFT
P51912	Slc1a5	RAFT
Q61233	Lcp1	RAFT
Q9WUA3	Pfkp	RAFT
Q07076	Anxa7	RAFT
O35737	Hnrnph1	RAFT
Q61881	Mcm7	RAFT
P11440	Cdk1	RAFT
P08101	Fcgr2	RAFT
Q9JKF1	Iqgap1	RAFT
O88207	Col5a1	RAFT
P01900	H2-D1	RAFT
P21995	Emb	RAFT
P26041	Msn	RAFT
P00405	Mtco2	RAFT
P01837	UNKNOWN	RAFT
Q9Z1Q9	Vars	RAFT
O08807	Prdx4	RAFT
Q60930	Vdac2	RAFT
E9PVA8	Gcn1l1	RAFT
P25918	Cd19	RAFT
Q99LE6	Abcf2	RAFT
Q921F2	Tardbp	RAFT
P46935	Nedd4	RAFT
P48962	Slc25a4	RAFT
P53996	Cnbp	RAFT
P00375	Dhfr	RAFT
Q9D880	Timm50	RAFT
P27546	Map4	RAFT
O88569	Hnrnpa2b1	RAFT
Q01853	Vcp	RAFT
P10852	Slc3a2	RAFT
P01863	Ighg	RAFT
P62821	Rab1A	RAFT
Q61470	Cd37	RAFT
