Q9R0M6	Rab9a
O35551	Rabep1
P63001	Rac1
Q9WTJ5	Ramp1
Q99JI6	Rap1b
Q922H7	Rasl11b
P13405	Rb1
Q60972	Rbbp4
Q64701	Rbl1
O08674	Rbpjl
Q8BP92	Rcn2
P15307	Rel
Q04207	Rela
Q04863	Relb
Q60841	Reln
P97428	Rgs16
Q78NN4	Rgs19
O08849	Rgs2
P61588	Rnd3
Q9D0C1	Rnf115
P70336	Rock2
P47708	Rph3a
P18653	Rps6ka1
Q8K0T0	Rtn1
O70622	Rtn2
Q9ES97	Rtn3
Q99P72	Rtn4
Q99PI8	Rtn4r
Q8K0S5	Rtn4rl1
Q7M6Z0	Rtn4rl2
P43407	Sdc2
O35988	Sdc4
P63300	Selenow
P42208	Septin2
O55131	Septin7
O88974	Setdb1
P97797	Sirpa
P53986	Slc16a1
P13808	Slc4a2
Q62432	Smad2
Q8BUN5	Smad3
P97471	Smad4
P97454	Smad5
O35182	Smad6
O35253	Smad7
O35717	Socs2
O35718	Socs3
Q62417	Sorbs1
O89090	Sp1
Q58A65	Spag9
Q9JM90	Stap1
P42225	Stat1
Q00262	Stx2
Q64704	Stx3
P70452	Stx4
Q8K1E0	Stx5
O08599	Stxbp1
Q548T0	Stxbp2
Q60770	Stxbp3
Q9D666	Sun1
Q99N80	Sytl1
Q99N50	Sytl2
Q99N48	Sytl3
Q549X6	Sytl4
Q9R0Q1	Sytl4
Q80T23	Sytl5
Q8CF89	Tab1
Q8R0L9	Tada3
P70323	Tbx1
P70371	Terf1
Q64092	Tfe3
P04202	Tgfb1
Q62219	Tgfb1i1
Q64729	Tgfbr1
Q62312	Tgfbr2
P21981	Tgm2
P39447	Tjp1
P26039	Tln1
B9EKI3	Tmf1
Q9D8D0	Tnfrsf13c
P50592	Tnfsf10
P43488	Tnfsf4
P32972	Tnfsf8
P41274	Tnfsf9
Q6PFX9	Tnks
Q3UES3	Tnks2
O88346	Tnnt1
P02340	Tp53
P39429	Traf2
P70196	Traf6
O55055	Trdmt1
Q9ERP3	Trim54
Q9QUQ5	Trpc4
Q9EP53	Tsc1
Q61037	Tsc2
P62500	Tsc22d1
P25976	Ubtf
Q8CGY6	Unc45b
Q8K1S4	Unc5a
Q8K1S3	Unc5b
O08747	Unc5c
Q00731	Vegfa
P97946	Vegfd
Q8BH43	Wasf2
P22561	Wt1
O70373	Xirp1
P62960	Ybx1
P62259	Ywhae
P68254	Ywhaq
P63101	Ywhaz
Q80X44	Zbtb24
Q8BN78	Zbtb33
P17141	Zfp37
Q62523	Zyx
